Question,Answer,Category,Keyword
What is the police force like?,"Namibian Police generally professional, with tourist police units in major destinations for visitor assistance.",practical,safety
What is emergency services access?,"Good in cities (dial 10111 for police), limited in remote areas where tourism operators provide assistance.",practical,emergency
What is road quality like?,"Main roads between towns are good, gravel roads can be rough, 4x4 needed for remote areas and parks.",practical,transport
What is air travel like?,"Hosea Kutako International Airport near Windhoek, domestic flights to major destinations, and several small airstrips.",practical,transport
What is train travel like?,"Limited passenger service, mainly used for freight. Not recommended for tourists except for certain scenic routes.",practical,transport
What vaccinations are needed?,"Yellow fever if coming from affected country, routine vaccines, and consider hepatitis A, typhoid for rural travel.",practical,health
Is malaria a risk?,"Malaria risk in northern regions (Etosha, Caprivi) during rainy season. Consult doctor for prophylaxis.",practical,health
What is the tap water quality?,"Generally safe in cities and tourist establishments, bottled water recommended in remote areas.",practical,water
What is the food safety like?,"Generally good in restaurants and lodges. Normal precautions for street food and rural areas.",practical,food
What is the dress code?,"Casual but modest clothing recommended, especially in rural areas and when visiting traditional communities.",culture,clothing
Is tipping expected?,"Yes, 10% in restaurants, tips for guides and lodge staff appreciated in tourism industry.",practical,customs
What is photography etiquette?,"Always ask permission before photographing people, especially in traditional communities. Some may request payment.",culture,etiquette
What is bargaining like?,"Not common except in craft markets where gentle bargaining is acceptable. Fixed prices in shops.",culture,etiquette
What is the time zone?,"Central Africa Time (CAT), UTC+2, no daylight saving time.",practical,time
What plugs are used?,"Type D (Indian) and Type M (South African) plugs, 220-240V. Adaptors available in shops.",practical,electricity
What is the dialing code?,"+264 for Namibia. Good mobile coverage in towns, limited in remote areas.",practical,communication
What is the postal service like?,"Reliable in cities, slower in rural areas. Courier services available for important documents.",practical,communication
What is the work ethic like?,"Generally professional in business, more relaxed pace in social settings. Punctuality valued in business.",culture,work
What are business hours?,"Typically 8am-5pm weekdays, 8am-1pm Saturdays. Banks close earlier. Shops may have longer hours.",practical,business
What are public holidays?,"Independence Day (Mar 21), Workers Day (May 1), Africa Day (May 25), Christmas, and various religious holidays.",culture,holidays
What is the weekend like?,"Saturday morning shopping, Sunday family time and church. Restaurants and tourism activities operate daily.",culture,lifestyle
What is the dating scene like?,"Mix of traditional and modern approaches. Meeting through friends common, online dating growing in cities.",culture,relationships
What is LGBTQ+ acceptance like?,"Same-sex relationships legal but social acceptance varies. More accepted in cities, traditional in rural areas.",society,rights
What is the divorce rate?,"Relatively low but increasing, with traditional mediation often attempted before legal proceedings.",society,family
What is child custody like?,"Mothers typically get custody, though fathers' rights increasing. Extended family often involved in child-rearing.",society,family
What is the birth rate?,"About 3 children per woman, declining with urbanization and education.",demographics,birth
What is the death rate?,"About 8 per 1000, with improvements in healthcare but challenges from HIV/AIDS and non-communicable diseases.",demographics,death
What is the age structure?,"Young population with median age around 22 years, but aging gradually with improved life expectancy.",demographics,age
What is urbanization rate?,"About 50% urban, with rapid growth in Windhoek and other towns creating housing and service challenges.",demographics,urban
What is internal migration like?,"Movement from rural to urban areas for jobs and education, creating informal settlements around cities.",society,migration
What is emigration like?,"Some skilled professionals emigrate to South Africa, Europe, or elsewhere, though many maintain ties to Namibia.",society,migration
What is immigration like?,"Limited immigration, mostly from neighboring countries for work, and some European retirees.",society,migration
What are refugee communities?,"Some refugees from Angola and DRC, though most have returned or been integrated.",society,migration
What is the poverty rate?,"About 18% live below poverty line, with rural areas and certain regions experiencing higher poverty.",economy,poverty
What is income inequality like?,"One of world's highest Gini coefficients, with significant wealth disparities despite middle-income status.",economy,inequality
What is social welfare like?,"Old-age pensions, disability grants, and child support grants help vulnerable populations.",society,welfare
What is the pension system?,"Government pension for those over 60, private pension funds for formal sector workers.",society,elderly
What is healthcare funding?,"Mix of government funding, private insurance, and out-of-pocket payments for those who can afford.",society,healthcare
What is the pharmaceutical industry?,"Limited local production, most medicines imported from South Africa and elsewhere.",economy,healthcare
What is traditional medicine like?,"Still practiced alongside modern medicine, especially in rural areas, with growing recognition.",culture,health
What is mental healthcare like?,"Growing awareness but limited services, especially outside Windhoek.",society,healthcare
What is disability access like?,"Improving but still limited, especially in older buildings and rural areas.",society,disability
What is the prison system like?,"Generally meets international standards though overcrowding can be an issue.",society,justice
What is the legal drinking age?,"18 years for purchasing and consuming alcohol.",society,laws
What is the smoking policy?,"Banned in public indoor spaces, with designated smoking areas.",society,laws
What is drug policy like?,"Illegal with strict penalties, though traditional cannabis use exists in some communities.",society,laws
What is gambling regulation?,"Legal in licensed casinos, with growing concerns about problem gambling.",society,laws
What is prostitution status?,"Illegal but exists, with health and safety concerns for sex workers.",society,laws
What is domestic violence like?,"Serious concern with high reported rates, though growing awareness and legal protections.",society,crime
What is the murder rate?,"Relatively high by global standards but most violence not directed at tourists.",society,crime
What is carjacking risk?,"Low compared to neighboring countries, but precautions advised especially in urban areas at night.",practical,safety
What is burglary rate?,"Moderate, with homes and businesses requiring security measures in cities.",society,crime
What is cybercrime like?,"Growing concern with increasing internet penetration, similar to global trends.",society,crime
What is the prison population?,"About 4,000 inmates in a system focused on rehabilitation where possible.",society,justice
What is the death penalty status?,"Abolished for all crimes. Last execution in 1988 under South African administration.",society,laws
What is the police-to-population ratio?,"About 1:400, considered adequate for crime prevention.",society,security
What is private security like?,"Large industry with many homes and businesses using private security companies.",society,security
What is neighborhood watch like?,"Active in some suburban areas, especially in Windhoek.",society,security
What is the fire service like?,"Professional in cities, volunteer-based in smaller towns, with response times varying.",practical,emergency
What is ambulance service like?,"Private ambulance services in cities, limited in rural areas where clinics provide transport.",practical,emergency
What is the blood supply like?,"National Blood Transfusion Service ensures safe supply, with donation campaigns.",society,healthcare
What is organ donation like?,"Allowed with consent, though donations limited and awareness growing.",society,healthcare
What is the ambulance response time?,"Varies: 10-20 minutes in cities, longer in rural areas depending on distance.",practical,emergency
What is the emergency number?,"10111 for police, 2032276 for ambulance in Windhoek, 211111 nationwide emergency.",practical,emergency
What is the tourist police number?,"Specific units in tourist areas, contact through accommodation or 10111.",practical,safety
What is lost property procedure?,"Report to police station, unlikely recovery but worth trying especially for documents.",practical,safety
What is the embassy assistance like?,"Most countries have embassies in Windhoek or consular services through South Africa.",practical,diplomatic
What is travel insurance requirement?,"Highly recommended for medical evacuation and trip cancellation.",practical,insurance
What is medical evacuation like?,"Available through private companies, essential for remote travel.",practical,health
What is the blood group distribution?,"Similar to South Africa with O most common, AB least common.",demographics,health
What is the Rh factor distribution?,"Mostly Rh positive, similar to global distribution.",demographics,health
What is the genetic diversity like?,"High diversity with Khoisan groups having some of oldest genetic lineages.",demographics,genetics
What is the average height?,"Varies by ethnic group, generally similar to regional averages.",demographics,health
What is the obesity rate?,"Growing concern with urbanization and diet changes, especially among women.",society,health
What is diabetes prevalence?,"Increasing with lifestyle changes, about 6% of adults.",society,health
What is hypertension prevalence?,"Common, especially in urban areas, linked to diet and stress.",society,health
What is cancer incidence?,"Increasing with aging population, with breast and cervical cancer major concerns.",society,health
What is tuberculosis rate?,"High burden country with multi-drug resistant strains a concern.",society,health
What is HIV prevalence?,"About 12% of adults, decreased from peak but still significant health challenge.",society,health
What is ARV coverage?,"Good with about 90% of diagnosed receiving treatment, a success story.",society,health
What is mother-to-child transmission?,"Greatly reduced through prevention programs to under 5%.",society,health
What is the maternal mortality rate?,"Improved but still high at about 200 per 100,000 births.",society,health
What is infant mortality rate?,"About 30 per 1,000 live births, improved with healthcare access.",demographics,health
What is child malnutrition rate?,"About 24% stunting in under-5s, though severe malnutrition reduced.",society,health
What is vaccination coverage?,"High for basic vaccines through expanded immunization program.",society,health
What is the doctor-patient ratio?,"About 1:1000, better than many African countries but uneven distribution.",society,healthcare
What is the nurse-patient ratio?,"About 1:500, with nursing well-respected profession.",society,healthcare
What is medical training like?,"University of Namibia Medical School trains doctors, with some studying abroad.",society,education
What is traditional healer recognition?,"Formally recognized and some collaboration with modern healthcare system.",culture,health
What is the life satisfaction rate?,"Moderate though affected by economic challenges, strong family and community ties important.",society,wellbeing
What is happiness index ranking?,"Middle range in Africa, affected by inequality but high social support.",society,wellbeing
What is the suicide rate?,"Relatively high, especially among men, with growing mental health awareness.",society,health
What is alcohol consumption?,"High per capita consumption with associated health and social problems.",society,health
What is drug abuse like?,"Growing concern especially among youth in urban areas.",society,health
What is the tobacco use rate?,"Declining with restrictions, about 20% of adults smoke.",society,health
What is physical activity like?,"Variable with sedentary jobs in cities, active lifestyles in rural areas.",society,health
What is the diet like?,"Traditional maize-based diet changing to more processed foods in cities.",culture,food
What is food security like?,"Generally good though drought affects rural households periodically.",society,food
What is the staple food?,"Maize meal (mahangu or oshifima) with meat or vegetables.",culture,food
What is the protein source?,"Beef, goat, chicken, fish, and game meats where available.",culture,food
What is the vegetable consumption?,"Limited in traditional diet, growing with nutrition education.",culture,food
What is fruit availability?,"Seasonal with good variety, imports supplement local production.",culture,food
What is the dairy consumption?,"Limited traditionally, growing with urbanization.",culture,food
What is the bread consumption?,"Common in urban areas, less in rural traditional diets.",culture,food
What is the sugar consumption?,"High, with soft drinks popular, contributing to health concerns.",society,health
What is the salt intake?,"High in processed foods and traditional preserved meats.",society,health
What is the fast food growth?,"Rapid in cities with international chains and local versions.",culture,food
What is restaurant dining like?,"Popular in cities with diverse cuisines reflecting multicultural society.",culture,food
What is the café culture like?,"Growing in Windhoek and Swakopmund with local coffee shops.",culture,food
What is the street food like?,"Kapana (barbecued meat) popular and affordable.",culture,food
What is the supermarket access?,"Good in cities, limited selection in rural towns.",society,food
What is the traditional beer?,"Oshikundu (millet beer) and tombo (palm wine in north).",culture,food
What is the commercial beer?,"Windhoek Lager and other brands from Namibia Breweries.",culture,food
What is the wine production?,"Orange River region produces growing quantity of quality wines.",culture,food
What is the spirit production?,"Limited local production, most imported.",culture,food
What is the drinking culture?,"Social with braais and gatherings, though binge drinking concerns.",culture,food
What is the smoking culture?,"Declining with restrictions and health awareness.",society,health
What is the khat use?,"Limited to some communities, not widespread.",society,health
What is traditional stimulant use?,"Limited use of indigenous plants in some cultures.",culture,health
What is the energy drink consumption?,"Growing among youth, similar to global trends.",society,health
What is the bottled water consumption?,"High due to tap water taste concerns in some areas.",society,food
What is the soda consumption?,"Very high, contributing to health issues.",society,health
What is the juice consumption?,"Growing with imported and local products.",culture,food
What is the tea and coffee consumption?,"Tea more common traditionally, coffee growing in popularity.",culture,food
What is the milk consumption?,"Mostly UHT or powdered, fresh limited to production areas.",culture,food
What is the yogurt consumption?,"Growing with health awareness.",culture,food
What is the cheese availability?,"Limited local production, mostly imported.",culture,food
What is the butter consumption?,"Moderate, with margarine more common.",culture,food
What is the oil consumption?,"Vegetable oils common, traditional animal fats less used.",culture,food
What is the meal frequency?,"Typically three meals, with lunch often main meal.",culture,food
What is the snacking habit?,"Growing with urbanization and processed food availability.",society,health
What is the breakfast like?,"Light often bread or porridge, heavier on weekends.",culture,food
What is the lunch like?,"Main meal for many, often hot with meat and starch.",culture,food
What is the dinner like?,"Lighter or similar to lunch depending on family.",culture,food
What is the weekend eating like?,"More elaborate with braais and family gatherings.",culture,food
What is the holiday eating like?,"Festive with special dishes and abundant food.",culture,food
What is the wedding feast like?,"Elaborate with slaughtered livestock and traditional dishes.",culture,traditions
What is the funeral food like?,"Community provides food for grieving family.",culture,traditions
What is the birthday celebration like?,"Cake and gathering, more elaborate for children.",culture,traditions
What is the Christmas meal like?,"Similar to western with turkey or ham, local adaptations.",culture,holidays
What is the Easter tradition?,"Religious observances and family meals.",culture,holidays
What is the New Year celebration?,"Parties and fireworks in cities, family gatherings.",culture,holidays
What is the Independence Day celebration?,"Official ceremonies and community events nationwide.",culture,holidays
What is the Heroes Day commemoration?,"August 26 honoring liberation struggle heroes.",culture,holidays
What is the Cassinga Day?,"May 4 commemorating 1978 massacre of Namibian refugees.",culture,holidays
What is the Africa Day celebration?,"May 25 with cultural events and pan-African focus.",culture,holidays
What is the Workers Day like?,"May 1 with labor union marches and events.",culture,holidays
What is the Christmas Eve like?,"Church services and family gatherings.",culture,holidays
What is the Boxing Day like?,"December 26 for relaxation and visiting.",culture,holidays
What is the Day of Goodwill?,"December 26 public holiday for community service.",culture,holidays
What is the Ascension Day?,"Religious holiday 40 days after Easter.",culture,holidays
What is the Family Day?,"Easter Monday for family time.",culture,holidays
What is the Day of the Namibian Women?,"December 9 honoring women's role in liberation.",culture,holidays
What is Namibia's political system?,"Namibia is a unitary semi-presidential representative democratic republic with a multiparty system.",politics,system
Who is the head of state in Namibia?,"The President of Namibia is both head of state and head of government.",politics,government
Who is the current President of Namibia?,"The current President is Nangolo Mbumba, who assumed office in February 2024 following the passing of President Hage Geingob.",politics,leadership
Who was the first President of Namibia?,"Dr. Sam Nujoma was the first President of Namibia from 1990 to 2005.",politics,history
How is the President elected?,"The President is elected by popular vote for a five-year term and can serve a maximum of two terms.",politics,elections
What is the role of the Prime Minister?,"The Prime Minister is the head of government in the National Assembly and assists the President.",politics,government
Who is the current Prime Minister?,"Saara Kuugongelwa-Amadhila has been Prime Minister since 2015.",politics,leadership
What is the structure of Namibia's parliament?,"Namibia has a bicameral Parliament consisting of the National Assembly (lower house) and National Council (upper house).",politics,government
How many members are in the National Assembly?,"The National Assembly has 104 members: 96 elected by proportional representation and 8 appointed by the President.",politics,government
How many members are in the National Council?,"The National Council has 42 members, with 3 representatives elected from each of Namibia's 14 regions.",politics,government
What is SWAPO?,"SWAPO (South West Africa People's Organization) is Namibia's ruling political party since independence in 1990.",politics,parties
When was SWAPO founded?,"SWAPO was founded on 19 April 1960 as a liberation movement fighting against South African rule.",politics,history
Who founded SWAPO?,"SWAPO was founded by Andimba Toivo ya Toivo, Sam Nujoma, and other Namibian nationalists.",politics,history
What other political parties are in Namibia?,"Major opposition parties include Popular Democratic Movement (PDM), Landless People's Movement (LPM), and others.",politics,parties
What is PDM?,"The Popular Democratic Movement is the official opposition party, formerly known as DTA (Democratic Turnhalle Alliance).",politics,parties
When was the last general election?,"The last general election was held in November 2019, with the next scheduled for 2024.",politics,elections
What is voter turnout like in Namibia?,"Voter turnout is generally high, around 60-70% in recent elections.",politics,elections
What is the voting age in Namibia?,"The voting age is 18 years.",politics,elections
How often are elections held?,"Presidential and parliamentary elections are held every five years, usually simultaneously.",politics,elections
What is the electoral system?,"Namibia uses a proportional representation system for parliamentary elections and first-past-the-post for presidential elections.",politics,elections
Is Namibia considered democratic?,"Yes, Namibia is consistently ranked as one of Africa's most stable democracies.",politics,democracy
What is Namibia's ranking in democracy indices?,"Namibia ranks as a 'flawed democracy' in the Democracy Index, but is among Africa's highest-ranked.",politics,democracy
How independent is the judiciary?,"Namibia has an independent judiciary protected by the constitution.",politics,judiciary
What is the highest court in Namibia?,"The Supreme Court is the highest court in Namibia.",politics,judiciary
Who appoints judges?,"Judges are appointed by the President on the recommendation of the Judicial Service Commission.",politics,judiciary
What is the constitution of Namibia?,"The Constitution of Namibia was adopted on 9 February 1990 and is the supreme law of the land.",politics,constitution
What are the main principles of the constitution?,"The constitution emphasizes democracy, rule of law, separation of powers, and protection of fundamental human rights.",politics,constitution
Does the constitution protect human rights?,"Yes, the constitution includes an extensive Bill of Rights protecting civil, political, and socio-economic rights.",politics,rights
What languages are official in government?,"English is the official language, but government documents may also be published in other local languages.",politics,government
How many regions does Namibia have?,"Namibia is divided into 14 administrative regions.",politics,administration
What are Namibia's regions?,"The regions are: Zambezi, Erongo, Hardap, Karas, Kavango East, Kavango West, Khomas, Kunene, Ohangwena, Omaheke, Omusati, Oshana, Oshikoto, and Otjozondjupa.",politics,administration
What is the capital region?,"Windhoek, the capital city of Namibia, is located within the Khomas Region. The Khomas Region is centered around its capital, Windhoek, which serves as Namibia's political, economic, and cultural hub, making Khomas the most populous region in the country.",politics,administration
How are regional councils elected?,"Regional councils are elected by popular vote in each constituency.",politics,elections
What is local government structure?,"Local authorities include municipalities, towns, and villages with elected councils.",politics,administration
What is the role of traditional leaders?,"Traditional authorities are recognized in the constitution but have limited formal political power.",politics,culture
How many traditional authorities are recognized?,"There are over 50 recognized traditional authorities representing various ethnic groups.",politics,culture
What is the House of Chiefs?,"The Council of Traditional Leaders advises the President on customary matters.",politics,culture
What is the ruling party's ideology?,"SWAPO's ideology is broadly social democratic with historical roots in African nationalism and socialism.",politics,ideology
What is Namibia's foreign policy?,"Namibia follows a policy of non-alignment, active multilateralism, and regional integration.",politics,international
What international organizations does Namibia belong to?,"Namibia is a member of UN, AU, SADC, Commonwealth, and other international organizations.",politics,international
What are Namibia's relations with South Africa?,"Relations are generally good though complex due to historical colonial and apartheid ties.",politics,international
What are Namibia's relations with Germany?,"Relations are strong with significant development cooperation, though complicated by the genocide history.",politics,international
What are Namibia's relations with China?,"Relations are strong with significant Chinese investment and infrastructure projects.",politics,international
What was the genocide agreement with Germany?,"In 2021, Germany agreed to pay €1.1 billion over 30 years for reconstruction and development in affected communities.",politics,history
What is land reform in Namibia?,"Land reform aims to redistribute agricultural land from white commercial farmers to previously disadvantaged Namibians.",politics,land
How much land has been redistributed?,"About 30% of commercial farmland has been redistributed since independence, short of the 43% target.",politics,land
What is the willing-buyer willing-seller principle?,"This was the initial approach to land reform, but has been criticized for being too slow.",politics,land
What is the Land Bill?,"Proposed legislation to speed up land reform, including possible expropriation with compensation.",politics,land
What is Affirmative Action?,"Policies to address historical inequalities in employment and education for previously disadvantaged groups.",politics,equality
What is Broad-Based Economic Empowerment?,"Legislation aimed at increasing black participation in the economy.",politics,economy
What is the unemployment rate?,"Official unemployment is around 20%, but youth unemployment is much higher at over 40%.",politics,economy
What are main economic challenges?,"High unemployment, income inequality, drought, and dependence on commodity exports.",politics,economy
What is Namibia's Gini coefficient?,"Namibia has one of the world's highest Gini coefficients, indicating extreme income inequality.",politics,economy
What is the poverty rate?,"About 18% of Namibians live below the poverty line, though this has decreased from higher levels.",politics,economy
What is Vision 2030?,"Namibia's long-term development plan aiming to transform the country into a developed nation by 2030.",politics,development
What is the Harambee Prosperity Plan?,"President Geingob's five-year plan (2016-2020) focusing on economic growth and poverty reduction.",politics,development
What is the current GDP growth rate?,"GDP growth averages 1-3% annually, though affected by global commodity prices and drought.",politics,economy
What is Namibia's main export?,"Diamonds, uranium, gold, zinc, and fish products are major exports.",politics,economy
What percentage of land is protected?,"About 42% of Namibia's land is under some form of conservation management.",politics,environment
What is communal conservancy?,"Community-managed wildlife areas where locals benefit from tourism and conservation.",politics,environment
How successful is community conservation?,"Namibia is considered a world leader in community-based natural resource management.",politics,environment
What is the status of press freedom?,"Namibia has strong press freedom, consistently ranking as Africa's freest press.",politics,media
What are the main newspapers?,"The Namibian, New Era, Republikein, and Allgemeine Zeitung are major newspapers.",politics,media
What is the state broadcaster?,"Namibia Broadcasting Corporation (NBC) is the public broadcaster.",politics,media
Is there internet freedom?,"Yes, internet access is generally free with minimal government restrictions.",politics,media
What is the status of LGBTQ+ rights?,"Same-sex sexual activity is legal, but there's no legal recognition of same-sex relationships.",politics,rights
What is the status of women's rights?,"Women have strong legal protections and are well-represented in parliament (over 40%).",politics,rights
What is the gender-based violence situation?,"Gender-based violence is a serious concern with high reported rates.",politics,rights
What is the education system like?,"Education is free and compulsory for 10 years, with high literacy rates around 91%.",politics,education
What is the healthcare system like?,"Mix of public and private healthcare, with public system free but sometimes under-resourced.",politics,health
What is the HIV prevalence rate?,"About 12% of adults are HIV-positive, though prevalence has decreased from peak levels.",politics,health
What is the life expectancy?,"Life expectancy is about 64 years, having improved significantly since independence.",politics,health
What is the corruption perception?,"Namibia is perceived as one of Africa's least corrupt countries, though concerns exist.",politics,corruption
What is the Anti-Corruption Commission?,"The ACC is an independent body established to investigate and prevent corruption.",politics,corruption
What was the Fishrot scandal?,"A major corruption scandal involving alleged bribes for fishing quotas, implicating former ministers.",politics,corruption
What is the #ShutItAllDown movement?,"Youth-led protests in 2020 against gender-based violence and government inaction.",politics,protests
What is the status of student protests?,"University students occasionally protest about tuition fees and accommodation issues.",politics,protests
What is the status of labor unions?,"Trade unions are active and have the right to organize and strike.",politics,labor
What is the largest trade union federation?,"The National Union of Namibian Workers (NUNW) is the largest federation, affiliated with SWAPO.",politics,labor
What is the minimum wage?,"There is no national minimum wage, but sector-specific minimum wages exist.",politics,labor
What is the tax system like?,"Progressive income tax, corporate tax of 32%, and VAT at 15%.",politics,economy
What is the government budget size?,"The national budget is about NAD 70-80 billion annually.",politics,economy
What percentage of GDP is government spending?,"Government spending is about 35-40% of GDP.",politics,economy
What is the national debt level?,"National debt is about 60-70% of GDP, considered moderate.",politics,economy
What is the currency?,"Namibian Dollar (NAD), pegged 1:1 to the South African Rand.",politics,economy
What is the inflation rate?,"Inflation averages 4-6% annually.",politics,economy
What is the exchange rate policy?,"Fixed exchange rate with the South African Rand.",politics,economy
What is the status of the Central Bank?,"The Bank of Namibia is independent in setting monetary policy.",politics,economy
What is the main source of government revenue?,"Tax revenue, SACU receipts, and mining royalties.",politics,economy
What is SACU?,"Southern African Customs Union, the world's oldest customs union, provides significant revenue to Namibia.",politics,international
How dependent is Namibia on SACU revenue?,"SACU transfers account for about 20-30% of government revenue.",politics,economy
What is the status of state-owned enterprises?,"There are numerous SOEs, some of which require government subsidies.",politics,economy
What is the NEEEF controversy?,"The New Equitable Economic Empowerment Framework proposed quotas for black ownership, facing business opposition.",politics,economy
What is the status of Chinese loans?,"China is a major lender for infrastructure projects, raising some debt sustainability concerns.",politics,international
What is the status of German development aid?,"Germany remains a major development partner with significant technical and financial assistance.",politics,international
What is the status of US relations?,"Relations are good with development cooperation through USAID and PEPFAR programs.",politics,international
What is PEPFAR?,"The US President's Emergency Plan for AIDS Relief provides significant funding for HIV/AIDS programs.",politics,health
What is the status of EU relations?,"The EU is a major trade partner and provides development assistance.",politics,international
What is the EPA with EU?,"Economic Partnership Agreement providing duty-free access to EU markets for Namibian exports.",politics,international
What is the status of SADC integration?,"Namibia is an active member of the Southern African Development Community.",politics,international
What is the status of AU integration?,"Namibia participates actively in African Union initiatives.",politics,international
What is Agenda 2063?,"Africa's development framework which Namibia has incorporated into its planning.",politics,development
What is the status of SDGs?,"Namibia has integrated the UN Sustainable Development Goals into national planning.",politics,development
What is the status of climate change policy?,"Namibia has a National Climate Change Policy and Strategy.",politics,environment
What is Namibia's position on climate negotiations?,"As a dry country, Namibia emphasizes adaptation and loss and damage in climate talks.",politics,environment
What is the status of renewable energy?,"Namibia aims to generate 70% of its energy from renewables by 2030.",politics,environment
What is the green hydrogen project?,"Major project to produce green hydrogen for export using solar and wind power.",politics,economy
What is the status of oil exploration?,"Recent offshore discoveries could transform Namibia's economy if commercially viable.",politics,economy
What is the status of uranium mining?,"Namibia is the world's fourth largest uranium producer.",politics,economy
What is the status of diamond mining?,"Diamonds are a major export, though production has declined from peak levels.",politics,economy
What is the status of fishing industry?,"Fishing is important but requires sustainable management to prevent overfishing.",politics,economy
What is the TIPNEU?,"The Targeted Intervention Program for Employment and Economic Growth aims to create jobs.",politics,economy
What is the status of informal sector?,"The informal sector employs a significant portion of the workforce, especially in urban areas.",politics,economy
What is the status of urbanization?,"About 50% of Namibians live in urban areas, with rapid urban growth.",politics,development
What is the housing situation?,"Significant housing backlog, especially in urban informal settlements.",politics,development
What is the water situation?,"Water scarcity is a major challenge, with reliance on dams and groundwater.",politics,environment
What is the status of sanitation?,"Improving but still inadequate in many rural areas and informal settlements.",politics,development
What is the status of electricity access?,"About 60% of population has electricity access, with efforts to expand grid.",politics,development
What is the status of road infrastructure?,"Good main roads but many rural roads need improvement.",politics,infrastructure
What is the status of railway infrastructure?,"Rail network needs modernization and expansion.",politics,infrastructure
What is the status of port infrastructure?,"Walvis Bay port has been expanded to serve as a regional gateway.",politics,infrastructure
What is the status of airport infrastructure?,"Hosea Kutako International Airport is being upgraded.",politics,infrastructure
What is the status of digital infrastructure?,"Growing mobile and internet penetration, but rural areas lag behind.",politics,infrastructure
What is the status of e-government?,"Developing with online services for some government functions.",politics,technology
What is the status of cybersecurity?,"Growing concern with increasing digitalization.",politics,security
What is the defense budget?,"Defense spending is about 3% of GDP.",politics,security
What is the size of the military?,"Namibia Defence Force has about 15,000 active personnel.",politics,security
What is the status of peacekeeping?,"Namibia contributes troops to UN and AU peacekeeping missions.",politics,international
What is the crime rate?,"Moderate crime rates with property crime more common than violent crime.",politics,security
What is the police to population ratio?,"About 1 police officer per 400 citizens.",politics,security
What is the status of prison system?,"Generally meets international standards though overcrowding can occur.",politics,justice
What is the death penalty status?,"Abolished for all crimes in 1990.",politics,justice
What is the status of juvenile justice?,"Separate system for juveniles with focus on rehabilitation.",politics,justice
What is the legal system based on?,"Roman-Dutch common law with some customary law elements.",politics,justice
What is the status of customary law?,"Recognized for personal and family matters for those who choose it.",politics,culture
What is the status of traditional courts?,"Recognized but subject to constitutional review and appeal to formal courts.",politics,justice
What is the Ombudsman's role?,"Investigates complaints against government agencies and protects human rights.",politics,government
What is the Auditor-General's role?,"Audits government accounts and reports to Parliament.",politics,government
What is the Public Service Commission?,"Manages recruitment and conditions for public servants.",politics,government
What is the size of public service?,"About 100,000 public servants, significant portion of formal employment.",politics,government
What is the salary bill?,"Public sector wage bill is about 15% of GDP, considered high.",politics,economy
What is the status of public service reform?,"Ongoing efforts to improve efficiency and reduce costs.",politics,government
What is the status of decentralization?,"Limited devolution to regional and local governments.",politics,government
What is the status of municipal elections?,"Held every five years, separate from national elections.",politics,elections
What is the voter registration process?,"Continuous voter registration with periodic verification exercises.",politics,elections
What is the status of electronic voting?,"Not currently used, paper ballots with manual counting.",politics,elections
What is the status of election observers?,"International and domestic observers are welcome.",politics,elections
What is the Electoral Commission of Namibia?,"Independent body responsible for organizing elections.",politics,elections
How independent is the ECN?,"Legally independent though appointments are political.",politics,elections
What is the status of party funding?,"No comprehensive regulation of private party funding.",politics,elections
What is the status of state funding for parties?,"Parties represented in Parliament receive state funding proportional to seats.",politics,elections
What is the status of candidate nomination?,"Parties nominate candidates through internal processes.",politics,elections
What is the status of independent candidates?,"Allowed but rarely successful in national elections.",politics,elections
What is the status of diaspora voting?,"Limited to diplomatic staff and their families.",politics,elections
What is the status of prisoners voting?,"Allowed unless specifically disenfranchised by court.",politics,elections
What is the status of voter education?,"ECN and civil society organizations conduct voter education.",politics,elections
What is the status of youth political participation?,"Youth are active in politics but underrepresented in leadership positions.",politics,youth
What is the status of women in politics?,"Strong representation with gender quotas in party lists.",politics,rights
What is the Zebra system?,"Requirement for gender alternation on party lists for local and regional elections.",politics,rights
What is the status of disability inclusion in politics?,"Improving but still limited representation.",politics,rights
What is the status of ethnic representation?,"Government includes representatives from various ethnic groups.",politics,diversity
What is the status of San/Bushman representation?,"Limited though special programs aim to include marginalized groups.",politics,diversity
What is the status of language in politics?,"English dominates though politicians may use local languages in campaigns.",politics,culture
What is the status of political rallies?,"Common during election campaigns with large gatherings.",politics,elections
What is the status of political advertising?,"Permitted with some regulation during election periods.",politics,elections
What is the status of social media in politics?,"Increasingly important for political communication.",politics,media
What is the status of fake news?,"Growing concern with some regulation proposed.",politics,media
What is the status of hate speech?,"Illegal though enforcement is limited.",politics,rights
What is the status of defamation laws?,"Defamation is a criminal offense, though rarely prosecuted.",politics,media
What is the status of access to information?,"No comprehensive access to information law though one is proposed.",politics,government
What is the status of whistleblower protection?,"Limited protection though legislation has been proposed.",politics,corruption
What is the status of asset declaration?,"Required for certain public officials but not publicly accessible.",politics,corruption
What is the status of conflict of interest rules?,"Exist but enforcement is weak.",politics,corruption
What is the status of procurement transparency?,"Improving with e-procurement system but concerns remain.",politics,corruption
What is the status of natural resource transparency?,"EITI (Extractive Industries Transparency Initiative) candidate country.",politics,corruption
What is EITI?,"Global standard promoting open and accountable management of natural resources.",politics,corruption
What is the status of fishing quota allocation?,"Controversial with allegations of corruption in the Fishrot scandal.",politics,corruption
What is the status of mining licenses?,"Allocation process has faced criticism for lack of transparency.",politics,corruption
